total_2_1edge,total_2_indep,total_3_tris,total_2_star,total_3_1edge,total_3_indep,total_4_clique,total_4_chordcycle,total_4_tailed_tris,total_4_cycle,total_3_star,total_4_path,total_4_1edge,total_4_2edge,total_4_2star,total_4_tri,total_4_indep,filename
80,1811,0,335,4130,33355,0,0,0,21,943,729,101604,2054,15394,0,437100,./motifs/212.motifcount
61,1830,0,1830,0,35990,0,0,0,0,35990,0,0,0,0,0,521855,./motifs/213.motifcount
73,1818,0,317,3746,33757,0,0,0,46,795,351,90988,1868,15432,0,448365,./motifs/214.motifcount
78,1752,1,268,4063,31658,0,0,5,33,612,584,100609,2077,12398,53,405484,./motifs/215.motifcount
60,1770,0,429,2682,32879,0,0,0,0,2999,833,61710,508,14219,0,441586,./motifs/216.motifcount
73,1757,0,329,3649,32012,0,0,0,6,1349,759,88513,1528,13493,0,416207,./motifs/217.motifcount
60,1770,0,1770,0,34220,0,0,0,0,34220,0,0,0,0,0,487635,./motifs/218.motifcount
60,1770,0,1770,0,34220,0,0,0,0,34220,0,0,0,0,0,487635,./motifs/219.motifcount
59,1711,0,1711,0,32509,0,0,0,0,32509,0,0,0,0,0,455126,./motifs/220.motifcount
83,1687,0,690,3434,30096,0,0,0,300,4637,1359,73501,754,21501,0,385583,./motifs/221.motifcount
123,1647,52,517,5944,27707,5,56,313,88,1291,1399,132732,4815,21708,2519,322709,./motifs/222.motifcount
59,1711,0,1242,938,32040,0,0,0,0,19612,441,15160,28,11076,0,441318,./motifs/223.motifcount
68,1702,0,441,3062,30717,0,0,0,23,2982,1025,70661,766,14049,0,398129,./motifs/224.motifcount
60,1710,0,448,2584,31188,0,0,0,1,3666,532,58066,788,13470,0,411112,./motifs/225.motifcount
59,1711,0,1654,114,32452,0,0,0,0,30856,57,1596,0,1596,0,453530,./motifs/226.motifcount
58,1653,0,1597,112,30800,0,0,0,0,29260,56,1540,0,1540,0,422730,./motifs/227.motifcount
69,1642,0,359,3215,28935,0,0,0,66,1060,355,70715,1500,15950,0,365480,./motifs/228.motifcount
57,1596,0,1596,0,29260,0,0,0,0,29260,0,0,0,0,0,395010,./motifs/229.motifcount
57,1596,0,366,2460,28030,0,0,0,0,2614,775,55227,455,10738,0,354461,./motifs/230.motifcount
58,1595,0,182,2884,27790,0,0,0,1,684,362,69504,1107,7230,0,345382,./motifs/231.motifcount
57,1596,0,1596,0,29260,0,0,0,0,29260,0,0,0,0,0,395010,./motifs/233.motifcount
85,1511,0,620,3435,25205,0,0,0,255,3190,656,66943,1784,21578,0,300604,./motifs/234.motifcount
72,1524,1,434,3089,25736,0,0,6,23,1929,679,63686,1388,16187,48,311064,./motifs/235.motifcount
61,1535,0,208,2939,26113,0,0,0,6,709,566,68750,1044,7949,0,315986,./motifs/236.motifcount
56,1540,0,1331,418,27511,0,0,0,0,22101,204,5909,5,5163,0,361628,./motifs/237.motifcount
62,1478,6,167,2996,24551,0,3,3,1,563,354,69455,1341,6438,309,288823,./motifs/238.motifcount
55,1485,0,1485,0,26235,0,0,0,0,26235,0,0,0,0,0,341055,./motifs/239.motifcount
59,1481,4,186,2802,24728,0,2,2,0,517,510,64160,997,7279,206,293617,./motifs/240.motifcount
55,1485,0,1485,0,26235,0,0,0,0,26235,0,0,0,0,0,341055,./motifs/241.motifcount
55,1485,0,1381,208,26131,0,0,0,0,23427,104,2704,0,2704,0,338351,./motifs/242.motifcount
60,1425,0,227,2726,23282,0,0,0,13,540,565,59405,952,9002,0,270578,./motifs/243.motifcount
